iter	RMSE
0	4430.95793
1	4245.857382
2	4076.828402
3	3915.741544
4	3770.201927
5	3641.02371
6	3518.95006
7	3402.474991
8	3297.232206
9	3199.763208
10	3110.938265
11	3032.184519
12	2959.414726
13	2889.368034
14	2828.645143
15	2769.660937
16	2716.394117
17	2667.260436
18	2621.678631
19	2579.894053
20	2540.293174
21	2505.273035
22	2472.33179
23	2443.162673
24	2414.25728
25	2386.757428
26	2361.356717
27	2339.738264
28	2318.068304
29	2296.080259
30	2277.299252
31	2257.494856
32	2241.066735
33	2226.406492
34	2210.974953
35	2196.899897
36	2184.600185
37	2171.565881
38	2159.879219
39	2149.8923
40	2138.769797
41	2126.963085
42	2117.170739
43	2107.63805
44	2098.69054
45	2088.927734
46	2079.355588
47	2071.624434
48	2060.677413
49	2053.824823
50	2047.656049
51	2041.775504
52	2036.546261
53	2029.224012
54	2023.998059
55	2018.903175
56	2014.730574
57	2008.713377
58	2001.995506
59	1996.631867
60	1992.398962
61	1986.571775
62	1981.648392
63	1975.557301
64	1969.388428
65	1965.665705
66	1960.243877
67	1956.933528
68	1952.249843
69	1947.458987
70	1943.325188
71	1939.361846
72	1935.082973
73	1932.245037
74	1929.451111
75	1926.215578
76	1923.059114
77	1921.111718
78	1917.990597
79	1915.74532
80	1913.746772
81	1911.359842
82	1908.22451
83	1905.553887
84	1903.808661
85	1901.686219
86	1899.871774
87	1896.328723
88	1892.20431
89	1890.300007
90	1887.704036
91	1886.226238
92	1884.65476
93	1882.673066
94	1880.192787
95	1878.316243
96	1876.80001
97	1874.802356
98	1871.583932
99	1870.011633
100	1868.011239
101	1864.581971
102	1862.149628
103	1860.59499
104	1859.493396
105	1857.550941
106	1855.603933
107	1853.383958
108	1852.148908
109	1850.885941
110	1849.543193
111	1847.67891
112	1846.202529
113	1844.866893
114	1843.747138
115	1840.608541
116	1838.779496
117	1837.959291
118	1836.611584
119	1835.197744
120	1834.02791
121	1832.798078
122	1831.35953
123	1829.911862
124	1828.377293
125	1825.832832
126	1823.832344
127	1821.992836
128	1820.22676
129	1818.994431
130	1818.022731
131	1816.160048
132	1814.570805
133	1813.74959
134	1812.44064
135	1811.086181
136	1809.998661
137	1808.35697
138	1807.197263
139	1805.970776
140	1805.146041
141	1804.185942
142	1802.744533
143	1801.937712
144	1800.263478
145	1799.085786
146	1797.842794
147	1796.652038
148	1795.273785
149	1794.195551
150	1792.905625
151	1792.153824
152	1791.235045
153	1790.492373
154	1789.709402
155	1788.52667
156	1787.540278
157	1786.408662
158	1785.200902
159	1783.827422
160	1782.806464
161	1782.069335
162	1781.427875
163	1780.320057
