iter	Passed	Remaining
0	15	22881
1	29	22024
2	43	21835
3	58	21827
4	74	22171
5	89	22303
6	104	22306
7	118	22136
8	132	21985
9	147	21906
10	161	21825
11	175	21728
12	192	22016
13	208	22144
14	225	22337
15	241	22367
16	254	22242
17	268	22122
18	282	22039
19	296	21974
20	310	21902
21	324	21822
22	338	21751
23	352	21662
24	366	21598
25	379	21537
26	393	21493
27	411	21611
28	425	21593
29	440	21562
30	453	21507
31	468	21496
32	482	21443
33	495	21386
34	509	21332
35	523	21301
36	537	21245
37	551	21213
38	564	21164
39	578	21107
40	593	21112
41	610	21189
42	624	21156
43	638	21116
44	651	21079
45	665	21040
46	679	21021
47	692	20958
48	707	20940
49	720	20897
50	733	20851
51	746	20791
52	759	20737
53	773	20723
54	786	20655
55	799	20613
56	813	20605
57	830	20641
58	847	20705
59	864	20755
60	880	20775
61	897	20807
62	912	20820
63	928	20841
64	943	20835
65	958	20816
66	975	20871
67	988	20814
68	1002	20781
69	1015	20752
70	1031	20758
71	1046	20758
72	1064	20799
73	1079	20793
74	1092	20758
75	1106	20729
76	1118	20676
77	1131	20633
78	1144	20583
79	1157	20553
80	1172	20534
81	1186	20515
82	1201	20509
83	1215	20485
84	1228	20454
85	1244	20455
86	1261	20487
87	1278	20514
88	1296	20561
89	1312	20554
90	1327	20546
91	1340	20512
92	1354	20489
93	1367	20456
94	1381	20431
95	1394	20397
96	1408	20368
97	1422	20343
98	1436	20329
99	1449	20299
100	1466	20318
101	1482	20325
102	1497	20308
103	1512	20308
104	1528	20311
105	1546	20340
106	1564	20372
107	1585	20433
108	1600	20430
109	1617	20440
110	1630	20402
111	1646	20404
112	1663	20412
113	1680	20426
114	1697	20438
115	1717	20489
116	1735	20511
117	1751	20512
118	1768	20523
119	1784	20521
120	1800	20522
121	1817	20532
122	1834	20542
123	1857	20610
124	1876	20639
125	1900	20723
126	1922	20783
127	1942	20816
128	1960	20838
129	1978	20848
130	1994	20838
131	2013	20869
132	2031	20877
133	2047	20874
134	2064	20875
135	2082	20884
136	2097	20868
137	2116	20892
138	2135	20904
139	2150	20894
140	2167	20894
141	2186	20907
142	2205	20927
143	2222	20926
144	2239	20929
145	2258	20941
146	2274	20931
147	2289	20911
148	2304	20894
149	2320	20885
150	2339	20899
151	2356	20896
152	2369	20865
153	2383	20830
154	2397	20800
155	2411	20776
156	2425	20752
157	2439	20721
158	2455	20705
159	2469	20684
160	2484	20663
161	2499	20644
162	2516	20641
163	2537	20667
164	2581	20885
165	2610	20974
166	2628	20977
167	2645	20975
168	2662	20971
169	2679	20961
170	2695	20951
171	2712	20942
172	2728	20932
173	2746	20932
174	2765	20939
175	2783	20942
176	2801	20937
177	2817	20925
178	2834	20921
179	2855	20943
180	2873	20939
181	2892	20949
182	2909	20938
183	2926	20928
184	2941	20910
185	2956	20889
186	2971	20865
187	2986	20842
188	3000	20814
189	3014	20783
190	3027	20746
191	3042	20727
192	3056	20699
193	3072	20682
194	3087	20663
195	3103	20649
196	3122	20651
197	3139	20645
198	3157	20644
199	3179	20667
200	3196	20659
201	3213	20648
202	3231	20648
203	3248	20637
204	3266	20636
205	3284	20629
206	3302	20626
207	3319	20619
208	3337	20616
209	3357	20624
