iter	Logloss
0	0.6920482613
1	0.6910288592
2	0.6898136172
3	0.6886022268
4	0.6877565886
5	0.686663027
6	0.6854493906
7	0.6842484882
8	0.6834295835
9	0.682877293
10	0.6818727347
11	0.6810728557
12	0.6803586302
13	0.6796538297
14	0.6789957197
15	0.6783730122
16	0.6776013725
17	0.6768873177
18	0.6765112885
19	0.6760622967
20	0.675567217
21	0.675064427
22	0.6746132292
23	0.6742436574
24	0.6737308588
25	0.6733506049
26	0.6728508724
27	0.6725726863
28	0.6721431718
29	0.6718266382
30	0.6713676372
31	0.671050175
32	0.6707884834
33	0.6704387939
34	0.6701176961
35	0.6699611261
36	0.6697570366
37	0.6694000068
38	0.6692063633
39	0.6689616558
40	0.6687151702
41	0.6685004412
42	0.6683108836
43	0.6681767217
44	0.6680022855
45	0.6677650913
46	0.6675734189
47	0.6673226862
48	0.6671583786
49	0.6671033428
50	0.6669955129
51	0.6668325183
52	0.6667096809
53	0.6665412406
54	0.6663093205
55	0.6662232967
56	0.6661174896
57	0.6659906959
58	0.6657693059
59	0.6656099871
60	0.6654803059
61	0.6653288514
62	0.665161411
63	0.665029599
64	0.6649287106
65	0.6648674569
66	0.6647692389
67	0.6647152427
68	0.664589219
69	0.6644900858
70	0.6644252307
71	0.664341924
72	0.6642793849
73	0.6642354048
74	0.6641431499
75	0.6640091
76	0.6639571231
77	0.663783242
78	0.6636413717
79	0.6635415032
80	0.6634571456
81	0.6633779393
82	0.6632916711
83	0.6631743414
84	0.6630750989
85	0.6629731788
86	0.6629031518
87	0.6628411218
88	0.6627762779
89	0.6626657314
90	0.6625481181
91	0.6625017862
92	0.662433014
93	0.6623149872
94	0.6622439247
95	0.6621419231
96	0.6620624895
97	0.6620033663
98	0.6619491349
99	0.6619107513
100	0.6618103657
101	0.6617568084
102	0.6616656765
103	0.6616324415
104	0.6615465614
105	0.6615152645
106	0.6614713528
107	0.6614214693
108	0.6613811576
109	0.6613169957
110	0.6612651795
111	0.6612153716
112	0.6611545842
113	0.661101447
114	0.661052369
115	0.6609853464
116	0.6609289949
117	0.6608767386
118	0.6608556879
119	0.6608068316
120	0.6607251412
121	0.6606602373
122	0.6605984014
123	0.6605505038
124	0.6604957756
125	0.6604497359
126	0.6604291221
127	0.6603535926
128	0.660326598
129	0.660256935
130	0.6601925668
131	0.6601421187
132	0.6600798251
133	0.660051781
134	0.6600122132
135	0.6599663321
136	0.6599307853
137	0.6598904089
138	0.6598294746
139	0.6597788582
140	0.6597407968
141	0.659703902
142	0.6596167573
143	0.6595907734
144	0.6594900567
145	0.659447817
146	0.6593829163
147	0.6593727434
148	0.6593065665
149	0.6592428054
150	0.6591638082
151	0.6590906019
152	0.6590739299
153	0.6589696892
154	0.6589360468
155	0.6589029437
156	0.6588429572
157	0.658798697
158	0.6587812388
159	0.6587299903
160	0.6586866115
161	0.6586346272
162	0.6585848903
163	0.6585334247
164	0.6584914582
165	0.6584221022
166	0.658353813
167	0.6583265891
168	0.6582554639
169	0.6582036575
170	0.6581940974
171	0.6581668448
172	0.6581259314
173	0.6581025653
174	0.6580193624
175	0.6579800586
176	0.6579371768
177	0.6578784708
178	0.6578447622
179	0.6577890062
180	0.657772006
181	0.6577150265
182	0.6576888829
183	0.6576506479
184	0.6576246354
185	0.6576094503
186	0.6575615828
187	0.6575418671
188	0.6575230302
189	0.6575117895
190	0.6574755397
191	0.6574602225
192	0.6573186869
193	0.6572874433
194	0.6572620134
195	0.6572110335
196	0.6571875273
197	0.6571307014
198	0.6570855935
199	0.6570603104
200	0.6570499045
201	0.6570379786
202	0.6569841794
203	0.6569697787
204	0.6569469312
205	0.6569247282
206	0.6568976254
207	0.6568644386
208	0.6568429258
209	0.6567814017
210	0.6567059971
211	0.6566951814
212	0.6566399936
213	0.6566181039
214	0.6565876253
215	0.6565255295
216	0.6564995619
217	0.6564817639
218	0.6564530531
219	0.6564312165
220	0.6564028695
221	0.6563741219
222	0.6563370821
223	0.6563230262
224	0.6562766412
225	0.6562193863
226	0.6561427129
227	0.6561328102
228	0.6560514417
229	0.656012542
230	0.6559928637
231	0.6559525306
232	0.6559042569
233	0.6558343748
234	0.6558168498
235	0.6557692938
236	0.6557576091
237	0.6557398935
238	0.6554949587
239	0.6554852734
240	0.6554266787
241	0.6554040145
242	0.6553453408
243	0.6553194023
244	0.6552959057
245	0.655207312
246	0.6551589489
247	0.65511451
248	0.6550706074
249	0.6550227834
250	0.6549709044
251	0.654915534
252	0.6548593063
253	0.6548439904
254	0.6548226311
255	0.6547633639
256	0.6547255212
257	0.6545116013
258	0.6544362534
259	0.6543813325
260	0.6543384881
261	0.6543254951
262	0.6543038182
263	0.6542801891
264	0.6542577342
265	0.6542018822
266	0.6541405615
267	0.6541078346
268	0.654057433
269	0.6540366233
270	0.6539873089
271	0.6539587165
272	0.6539067104
273	0.6538576179
274	0.6537969582
275	0.6537158856
276	0.6536545656
277	0.6535883537
278	0.6535254329
279	0.6534977127
280	0.6534582149
281	0.6534089904
282	0.6533518502
283	0.6532932778
284	0.6532196409
285	0.6531185786
286	0.6530482817
287	0.6529820514
288	0.6529103822
289	0.6528637467
290	0.6527790488
291	0.6527527077
292	0.652706663
293	0.6526669348
294	0.6525781505
295	0.6525202398
296	0.6524309281
297	0.6523619724
298	0.6522835248
299	0.6522431353
300	0.6521796279
301	0.6521346133
302	0.6520784689
303	0.6520120439
304	0.6519362011
305	0.6518634026
306	0.6518171055
307	0.6517470639
308	0.6516718107
309	0.6516234588
310	0.6515448616
311	0.6514907616
312	0.651442709
313	0.6513779473
314	0.6513293621
315	0.6512830155
316	0.6512137153
317	0.6511742497
318	0.6511177207
319	0.6510583178
320	0.6510033898
321	0.6509396722
322	0.6508808058
323	0.6508121691
324	0.6507684227
325	0.6507138782
326	0.6506546119
327	0.6506194284
328	0.6505585538
329	0.6504970793
330	0.6504408992
331	0.6503523677
332	0.6503007081
333	0.6502213995
334	0.6501840856
335	0.6501324333
336	0.6500670961
337	0.6500155512
338	0.6499514706
339	0.6499037393
340	0.6498494657
341	0.6498017677
342	0.6497417793
343	0.6496969019
344	0.6496487805
345	0.6496048279
346	0.6495615293
347	0.6495168839
348	0.6494695304
349	0.649418725
350	0.6493821687
351	0.6493399348
352	0.649304319
353	0.6492630207
354	0.6492205438
355	0.6491521714
356	0.6491138851
357	0.649074485
358	0.649052495
359	0.6490060766
360	0.6489616384
361	0.6489181331
362	0.6488762595
363	0.6488272783
364	0.6487612308
365	0.6487278714
366	0.6486841359
367	0.6485028606
368	0.6484671979
369	0.6484269872
370	0.6482675606
371	0.6482394218
372	0.6481873262
373	0.6481519533
374	0.6481197812
375	0.6480736672
376	0.648013665
377	0.6479638221
378	0.6479048513
379	0.6478444253
380	0.6477983387
381	0.6477602841
