iter	Passed	Remaining
0	1	1476
1	3	1433
2	5	1364
3	6	1377
4	8	1364
5	10	1353
6	12	1374
7	13	1384
8	15	1381
9	17	1410
10	19	1404
11	21	1394
12	23	1404
13	25	1409
14	26	1407
15	28	1413
16	30	1411
17	32	1402
18	34	1417
19	36	1412
20	37	1402
21	39	1399
22	41	1395
23	42	1389
24	44	1392
25	46	1395
26	48	1396
27	50	1389
28	52	1386
29	53	1383
30	55	1383
31	57	1377
32	59	1375
33	61	1381
34	63	1384
35	65	1388
36	67	1391
37	69	1389
38	71	1390
39	72	1386
40	74	1381
41	76	1375
42	78	1377
43	80	1380
44	82	1379
45	84	1382
46	86	1378
47	87	1375
48	89	1374
49	91	1370
50	93	1368
51	95	1366
52	96	1365
53	98	1367
54	100	1365
55	102	1365
56	104	1360
57	106	1357
58	107	1353
59	109	1352
60	111	1346
61	113	1345
62	115	1349
63	117	1353
64	119	1356
65	122	1362
66	124	1357
67	125	1354
68	127	1350
69	129	1347
70	131	1346
71	132	1343
72	134	1340
73	136	1342
74	138	1339
75	140	1338
76	143	1344
77	145	1345
78	147	1344
79	149	1346
80	151	1344
81	153	1343
82	155	1345
83	157	1342
84	159	1343
85	161	1340
86	163	1337
87	164	1332
88	166	1331
89	168	1330
90	170	1330
91	172	1328
92	174	1326
93	176	1323
94	177	1320
95	179	1318
96	182	1319
97	183	1317
98	185	1316
99	187	1315
100	190	1315
101	192	1314
102	193	1312
103	195	1310
104	197	1310
105	200	1312
106	202	1311
107	204	1308
108	206	1307
109	208	1306
110	209	1303
111	211	1301
112	213	1298
113	215	1296
114	217	1292
115	218	1291
116	220	1288
117	222	1288
118	225	1288
119	226	1285
120	228	1281
121	230	1279
122	231	1276
123	234	1275
124	235	1274
125	237	1272
126	239	1271
127	242	1273
128	244	1270
129	246	1268
130	247	1264
131	249	1262
132	251	1261
133	253	1260
134	255	1258
135	257	1255
136	258	1253
137	260	1249
138	262	1246
139	264	1247
140	266	1244
141	267	1241
142	269	1238
143	271	1237
144	273	1237
145	276	1236
146	278	1236
147	280	1236
148	283	1237
149	285	1236
150	287	1233
151	289	1233
152	291	1231
153	293	1232
154	295	1230
155	297	1226
156	298	1223
157	300	1220
158	302	1218
159	304	1216
160	305	1214
161	307	1210
162	309	1207
163	311	1206
164	312	1203
165	314	1201
166	316	1199
167	318	1197
168	319	1194
169	322	1193
170	324	1193
171	326	1190
172	327	1188
173	329	1185
174	331	1183
175	333	1181
176	334	1178
177	336	1177
178	338	1174
179	340	1171
180	341	1168
181	344	1168
182	345	1166
183	347	1164
184	350	1163
185	352	1164
186	354	1162
187	356	1160
188	358	1159
189	360	1157
190	362	1154
191	363	1151
192	365	1149
193	367	1147
194	369	1145
195	371	1143
196	373	1142
197	375	1142
198	377	1139
199	379	1138
200	381	1136
201	383	1134
202	385	1134
203	387	1132
204	389	1130
205	391	1128
206	393	1125
207	395	1125
208	397	1123
209	398	1120
210	400	1118
211	402	1117
212	405	1116
213	406	1113
214	408	1112
215	410	1109
216	412	1107
217	413	1104
218	415	1102
219	417	1100
220	419	1098
221	420	1095
222	422	1093
223	424	1092
224	426	1090
225	428	1089
226	430	1087
227	432	1084
228	434	1082
229	436	1081
230	437	1078
231	439	1076
232	442	1075
233	444	1074
234	446	1072
235	448	1070
236	450	1069
237	451	1066
238	454	1066
239	456	1064
240	458	1062
241	460	1062
242	462	1060
243	464	1058
244	466	1055
245	468	1054
246	470	1052
247	471	1050
248	474	1049
249	476	1048
250	478	1046
251	480	1044
252	481	1041
253	483	1039
254	485	1037
255	487	1035
256	489	1033
257	491	1033
258	493	1031
259	496	1030
260	497	1027
261	499	1025
262	501	1023
263	502	1020
264	504	1018
265	505	1015
266	507	1013
267	509	1011
268	511	1009
269	513	1007
270	514	1005
271	516	1003
272	518	1001
273	521	1000
274	522	997
275	524	995
276	526	994
277	528	993
278	531	991
279	532	989
280	534	987
281	536	986
282	538	983
283	540	981
284	542	980
285	543	977
286	545	975
287	547	972
288	548	970
289	550	967
290	552	965
291	553	963
292	555	961
293	557	959
294	559	957
295	561	955
296	562	952
297	564	950
298	566	948
299	567	946
300	569	944
301	571	941
302	572	939
303	574	937
304	576	935
305	578	933
306	580	932
307	582	930
308	584	928
309	586	927
310	589	926
311	591	925
312	593	923
313	595	921
314	597	920
315	599	918
316	601	916
317	603	914
318	606	913
319	608	912
320	610	910
321	612	908
322	614	906
323	615	904
324	617	902
325	620	902
326	623	901
327	626	900
328	627	898
329	629	896
330	631	894
331	633	893
332	635	891
333	637	889
334	639	887
335	641	886
336	643	884
337	646	882
338	647	880
339	649	879
340	651	877
341	653	875
342	655	873
343	657	871
344	659	869
345	661	868
346	663	866
347	665	864
348	667	862
349	668	860
350	670	857
351	672	855
352	674	854
353	676	852
354	678	851
355	680	849
356	682	846
357	684	845
358	686	843
359	688	842
360	691	840
361	693	838
362	695	837
363	697	835
364	700	834
365	702	832
366	704	831
367	706	829
368	708	827
369	710	825
370	712	823
371	714	821
372	716	820
373	718	818
374	720	816
375	722	814
376	724	812
377	726	810
378	728	809
379	729	806
380	731	804
381	734	803
382	736	801
383	738	800
384	740	798
385	743	797
386	744	795
387	747	793
388	748	791
389	750	789
390	752	786
391	753	784
392	756	783
393	758	781
394	761	780
395	762	778
396	764	776
397	767	774
398	769	773
399	771	771
400	773	769
401	775	767
402	777	765
403	778	763
404	780	761
405	783	759
406	784	757
407	786	756
408	789	754
409	791	752
410	793	751
411	795	749
412	797	747
413	799	745
414	801	743
415	803	741
416	805	739
417	807	738
418	809	736
419	811	734
420	814	733
421	816	731
422	818	729
423	819	727
424	822	725
425	824	723
426	825	721
427	828	719
428	830	718
429	833	717
430	835	715
431	838	714
432	840	712
433	842	710
434	844	708
435	847	707
436	849	705
437	851	703
438	853	701
439	854	699
440	856	697
441	858	695
442	859	692
443	861	691
444	863	689
445	865	687
446	868	685
447	869	683
448	871	681
449	873	679
450	875	677
451	877	675
452	879	673
453	881	671
454	883	669
455	885	667
456	886	665
457	888	663
458	890	661
459	892	659
460	894	657
461	896	655
462	898	653
463	900	651
464	902	650
465	905	648
466	906	646
467	908	644
468	910	642
469	912	640
470	914	638
471	916	636
472	918	635
473	921	633
474	923	631
475	925	630
476	927	628
477	929	626
478	931	624
479	933	622
480	935	620
481	937	618
482	939	616
483	941	614
484	944	613
485	945	610
486	948	609
487	949	607
488	951	605
489	953	603
490	955	601
491	957	599
492	960	597
493	962	595
494	964	594
495	966	592
496	968	590
497	970	588
498	972	586
499	974	584
500	976	582
501	978	580
502	980	579
503	982	577
504	984	575
505	986	573
506	988	571
507	990	569
508	992	567
509	994	565
510	996	563
511	998	561
512	1001	560
513	1002	558
514	1004	555
515	1007	554
516	1009	552
517	1010	550
518	1013	548
519	1014	546
520	1016	544
521	1019	542
522	1021	540
523	1022	538
524	1025	537
525	1026	534
526	1028	532
527	1031	531
528	1033	529
529	1034	527
530	1036	525
531	1038	522
532	1039	520
533	1041	518
534	1043	516
535	1045	515
536	1048	513
537	1049	511
538	1052	509
539	1054	507
540	1056	505
541	1057	503
542	1059	501
543	1062	499
544	1064	497
545	1066	496
546	1068	494
547	1071	492
548	1072	490
549	1074	488
550	1076	486
551	1078	484
